question,answer
"Э.Фромм видит проблему современной индустрии развлечений в том, что она провоцирует человека испытывать разнообразные чувства, обогащая его в этом отношении, но отвлекая от работы и семьи.",Нет
"Согласно Фромму, одним из важнейших направлений развития человека является его становление в качестве личности, одновременно связанной с миром и независимой от него.",Да
"Предметы, удовлетворяющие духовные потребности, в отличие от базовых, могут сопротивляться потреблению.",Нет
"Г.-Г. Гадамер полагает, что философия использует понятия в качестве инструментов познания реальности.",Нет
"Согласно Г.-Г. Гадамеру, требование использовать только те понятия, которые определены полностью и самым точным образом, приводит не к познанию мира, а к тому, что разум уходит сам в себя, отрываясь от опыта.",Да
"Г.-Г. Гадамер полагает, что предмет философии – это язык, так как даже обыденное мышление зависит от смысла слов в языке.",Нет
"Согласно Г.-Г. Гадамеру, различные подходы к постановке одного и того же вопроса в истории философии скрывают одну и ту же теоретическую проблему.",Нет
"По Г.-Г. Гадамеру, человек, разрабатывающий новые вопросы и делающий открытия в области познания, сталкивается с проблемой отсутствия подходящего языка для объяснения своих находок.",Да
"Ф.Энгельс полагал, что религиозные представления происходят из примитивных знаний людей о мире, в отличие от философии, основной вопрос которой связан с научным познанием мира.",Нет
"Согласно Ф.Энгельсу, проблема философии состоит в том, что она не ставит вопрос о возможности иметь правильное представление об окружающем мире, познать и понять его.",Нет
"Ф.Энгельс полагал, что материализм, как и идеализм, видоизменялся с ходом времени.",Да
"Ф.Энгельс высказывается в том духе, что, поскольку у всякого человека есть сознание и самосознание, всех можно назвать идеалистами.",Да
"Ф.Энгельс полагал, что, хотя мир и находится в постоянном изменении, прогресс наших знаний о нем возможен.",Да
Эстетика как философская наука рассматривает все возможные смыслы понятия «прекрасное».,Нет
"Современная эстетика как философская наука не ограничивается исследованием прекрасного, красоты.",Да
Важнейший для эстетики анализ гармонии как объективном свойстве вещей провел И. Кант.,Нет
"И. Кант считал, что мы воспринимаем в качестве прекрасного предмет, когда у нас нет к нему заинтересованного отношения.",Да
"Эстетический опыт не обязательно является чем-то редким и уникальным; восприятие, например, красоты может сопутствовать другим видам восприятия.",Да
"Особенностью эстетических категорий является то, что они независимы от истории и культуры, едины у всех народов и эпох.",Нет
"И. Кант приходит к выводу, что суждение вкуса обязательно содержит в себе логический компонент.",Нет
"И. Кант утверждает, что суждение вкуса никогда не указывает на привязанность субъекта к предмету, о котором суждение выносится.",Да
"Согласно И.Канту, достаточно чувствовать, что нечто приятно, чтобы эта вещь стала для нас либо целью, либо средством для чего-либо.",Нет
"И.Кант полагает, что приятное и хорошее тождественны.",Нет
"И.Кант замечает, что счастье во всей его полноте еще не есть для человека высочайшее благо.",Да
"Согласно И.Канту, для суждения вкуса не требуется понимания того, существует нравящийся предмет или нет.",Да
"И.Кант полагает, что приятное ощущают и животные, а красота значима только для людей.",Да
"Франк считает, что существует три основных типа философии истории.",Нет
"По Франку философия истории «ложного» типа опирается на веру в прогресс, на достижение некоего идеального состояния общества.",Да
"Сущностный, главный смысл истории, по Франку, - это не исследование линейного процесса развития, а постижение цельного образа человечества и его духа.",Да
"История, по Франку, может быть только временной последовательностью, в которой всё стремится к некоему логическому завершению.",Нет
"Философия истории – самостоятельная наука, имеющая своим предметом жизнь человека в ее цельности, следовательно она может опираться только на строгую методологию.",Нет
"По Ф.Энгельсу, род достигает своего расцвета на высшей ступени дикости.",Нет
Первым общественным разделением труда Ф.Энгельс называет отделение пастушеских племен.,Да
"Ф.Энгельс утверждает, что освобождение женщины возможно только тогда, когда промышленность предоставит ей возможность меньше заниматься домашним трудом, когда крупное производство начнет нуждаться в труде женщины.",Да
"Класс купцов, который возникает с цивилизацией, по Ф.Энгельсу, в конце концов создает свой собственный продукт. А именно – деньги.",Нет
Ф.Энгельс согласен с Гегелем в его трактовке государства как «образа и действительности разума».,Нет
"Ф.Энгельс утверждает, что не бывает государства без эксплуатации.",Да
Понятие «культуры» напрямую связано с понятием «человек».,Нет
"Он всегда неудовлетворен условиями своей жизни, всегда доволен собой и всегда стремится взять власть в свои руки, - так Х. Ортега-и-Гассет описывал представителя именно массовой культуры.",Да
Игровая теория культуры Й.Хейзинги стала одной из важнейших в XX в.,Да
Важнейшим термином в игровой теории культуры Й.Хейзинги стал «симулякр».,Нет
Развитие теории «метанарратива» характерно для культуры Нового времени.,Нет
"С научной точки зрения, каналы медиа – не более чем средство передачи информации, посредники между субъектами, обменивающимися сообщениями.",Нет
"Х. Ортега-и-Гассет утверждает, что подлинная цель человека – поиск высшего начала.",Да
Наихудшей из опасностей для европейской цивилизации Х. Ортега-и-Гассет считает общество потребления,Нет
Х. Ортега-и-Гассет определяет власть как механизм общественного устройства и управления.,Да
"С точки зрения Х. Ортега-и-Гассета, государство в подлинном виде появилось в Европе с приходом на историческую сцену буржуазии.",Да
"С точки зрения Х. Ортега-и-Гассета, массовый человек для реализации своих желаний организуется в гражданское общество и прибегает к его помощи.",Нет
"Платон приходит к выводу, предметом истинного познания может быть только то, что вечно и не меняется.",Да
"Согласно Платону, поэты должны быть изгнаны из идеального государства потому, что пропагандируют понятийное, мыслительное освоение мира.",Нет
"Древнегреческое слово «космос» значит нечто прекрасно организованное, гармоничное, поэтому от этого слова происходит «косметика».",Да
"В Новое время, начиная с Декарта и Бэкона, мышление утрачивает или отказывается от власти авторитетов, вследствие чего падает значимость и понятия познающего субъекта.",Нет
В Новое время можно выделить два философских направления: эмпиризм и рационализм.,Да
"Предмет нашего познания независим от познающего субъекта, рассуждал И.Кант.",Нет
"Согласно Э. Гуссерлю, «естественная установка» состоит в убеждении, что нам даны вещи так, как они есть сами по себе.",Да
Вопрос о соотношении человека и общества издавна волновал мыслителей,Да
Основные способности человека получают развитие только в обществе.,Да
"Социальный номинализм определяет общество как совокупность людей, объединенных общими целями, идеалами, мировоззрением.",Нет
"Социальная философия придерживается так называемого социального реализма, согласно которому общество вне общения, вне общества человек не может существовать.",Да
"Социально-стратовая дифференциация означает, что представители разных сообществ, несмотря на то, что выполняют разные функции, обладают схожими интересами и целями.",Нет
В любом обществе есть два базовых социальных института: семья и государство.,Нет
"Обществу трудно сохраняться, когда происходит кризис социальных институтов. Однако кризис не означает гибель этого общества.",Да
Какой из перечисленных предметов исследования не относится к философии религии?,исторические формы религии
К философии религии относятся,все вышеперечисленное (анализ вариантов раскрытия сущности религии; выявление онтологических основ религии в бытии человечества; исследование религиозного мировоззрения разных типов)
К философии религии относятся,все вышеперечисленное (выявление статуса самой философии религии в общей системе знаний; выявление специфики и содержания религиозной философии; исследование религиозного мировоззрения разных типов)
Философский понятийный аппарат для религиозного осмысления мира использует:,религиозная философия
Отличительной чертой религиозной философии является:,утверждение взаимодополнительности разума и веры для постижения истины
«Теология» является,синонимом «богословия»
«Естественная теология» это:,"богословие, доступное человеческому разуму без божественного откровения"
"Основным и общим объектом исследования и религиоведения, и философии религии выступает",религия
"Согласно И. Канту, религия – это:",познание наших моральных обязанностей в виде божественных заповедей
"Согласно Гегелю, религия – это:","самосознание абсолютного духа, опосредованное конечным человеческим духом"
Какая религия не входит в число мировых:,иудаизм
Выяснение причин возникновения и распространения представлений о богах и культовой практики является предметом исследования:,философии религии
"Согласно Аристотелю, место бога в философии определяется тем, что он:",является источником всякого движения и конечной целью
"Гуманизм эпохи Возрождения, в отличие от средневековых мыслителей, полагали, что:","природное и божественное в человеке находятся не в противоборстве, а в гармонии"
"Философский смысл деизма Нового времени в том, что",законы природы постоянны и неизменны
"Утверждение, что религия отличается от нравственной философии только формально, принадлежит:",И. Канту
Знаменитая первая попытка свести представления о боге к сущности и проблемам человеческого существа принадлежит:,Л. Фейербаху
"Согласно К. Марксу, религия является:","формой сознания, отражающей отчуждение в обществе эксплуатации"
Объяснение религии как формы запрета и подавления человеческих естественныхвлечений характерно для:,З. Фрейда
"Согласно Н.А. Бердяеву, противостояние философии и религии неслучайно потому, что",религия тоже включает в себя познание
"Противостояние философии и богословия можно, по Бердяеву, описать как",противостояние индивидуального и коллективного мышления
"Согласно Л.Фейербаху, история религии есть ни что иное, как",история человека
"Сущность веры в единого бога в отличие от политеизма – веры во многих богов в том, по Фейербаху, что",в монотеизме человечество начинает осознавать себя как единый род существ
Фейербах формулирует важнейшую цель своего изучения религии как:,содействие свободе человека
"По Фрейду, роль очеловечивания природы в ранних религиях в том, что она представляет собой",возможность понять ее и каким-то образом реагировать на нее
"С развитием естественнонаучных знаний функция религии (роль представления о богах) все больше смещается, по З.Фрейду, в область:",нравственности
"С позиции З.Фрейда, предлагаемое религией учение о бессмертии",помогает справиться с осознанием пространственных и временных пределов исполнения желаний человека
"С.Л.Франк указывает, что определенная опасность философии для религии может быть в том, что",философское исследование устраняет таинственность природы божества
"Важнейшая теоретическая проблема взаимоотношения религии и философии, согласно С.Л.Франку, такова:",может ли философия не быть рациональной?
Согласно С.Л.Франку основным источником философского знания следует считать,целостный духовный опыт
"В терминологии И.Канта, «естественная религия» это:","религия, в которой для понимания нравственных заповедей не требуется откровения"
"Какие положения, по Канту, являются основополагающими для нравственности, и поэтому требуют своего доказательства на основании опыта и примеров?","ни одно из перечисленных (что только чистосердечные моральные убеждения могут сделать человека угодным богу; что грех в помысле имеет для бога такое же значение, как и грех в деянии; что несправедливость к ближнему может быть искуплена только перед ним же)"
"В более совершенной религии присутствуют элементы прошлого, законы предшествующей религии, потому что:",люди консервативны и нуждаются в объяснении на основании привычных им понятий
"С.Л.Франк считает, что философское понятие о боге может заключать в себе идеи:",все вышеперечисленное (субстанции мира; первопричины мира; мирового разума)
"Согласно Фейербаху, причиной возникновения религии стали:",все вышеперечисленное (страх; любовь и благодарность; чувство зависимости)
"Продолжите утверждение «Человек творит культуру,",и сам является ее творением
Какая наука занимается исследованием культуры,культурология
Насчитывается более 170 определений культуры. Знаменитая подборка этих определений принадлежит,американским антропологам А. Креберу и К. Клакхону
Какой из перечисленных элементов присутствует в современном научном понятии культуры:,все вышеперечисленное (созданное разумом человека; искусственная среда; определяющее поведение индивидов)
"Культуру иногда называют инобытием человека. Причина в том, что",культура – это результат деятельности человека в предметном мире
В истории европейской науки одну из ключевых ролей в становлении исследования культуры сыграли:,"немецкие мыслители И.Кант, И.Гердер, Г.В.Ф.Гегель"
Родоначальником концепции массовой культуры считается:,Х.Ортега-и-Гассет
Под «восстанием масс» Х. Ортега-и-Гассет имел в виду:,кризис культуры в результате распространения мировоззрения серой посредственности
"Итальянский философ У.Эко находил возможность назвать «открытым произведением» и современное искусство, и современную рекламу, потому что",в современном искусстве и рекламе предполагается активная роль зрителя
"Развивая свою культурологическую концепцию, Й.Хейзинга называл человека",homo ludens
"Й.Хейзинга в своих исследованиях показывает, что многие феномены культуры подпадают под признаки игрового действия. Один из этих признаков:","все вышеперечисленные (игровое действие должно быть ограничено во времени и пространстве; игра устанавливает строгий порядок, она сама есть порядок; игра тяготеет к созданию атмосферы таинственности.)"
Одним из центральных объектов исследования Ж.Бодрийяра в книге «Система вещей» является:,функциональность вещи в традиционной культуре и размытие ее функциональности в современной
Примером симулякра может быть,рекламный образ
Одним из первых термин «постмодерн» ввел в философский оборот:,Ж.-Ф.Лиотар
«Метанарратив» это:,"концепция, обосновывающая основания других концепции"
"Согласно Ж.-Ф.Лиотару, метанарратив Нового времени это","обоснование того, что разум может познать мир исчерпывающим образом"
"Латинское слово «medium», корень которого есть в словах «медиасреда», «медиареальность», значит:",медиа влияют на содержание передаваемого сообщения
"Философами и культурологами, исследовавшими медиареальность, были",ни один из них (Й.Хейзинга; Дж. Вико; оба этих ученых)
"Для того, чтобы отождествить медиареальность и современное общество, необходимо представление об обществе как","форме, системе коммуникации"
"Согласно Й. Хейзинге, игра",не требует рациональности для своего понимания
"Согласно Й. Хейзинге, специфика исследования игры в человеческой культуре в том, что","оно пытается понять игру так, как воспринимает ее сам играющий"
"Этическое содержание, по Й.Хейзинге, придает игре:",напряжение
В теории Ж.Бодрийяра «потребление» в современной культуре рассматривается как,система коммуникации и структура отношений в обществе
"Согласно Ж.Бодрийяру, особенность «знака» в том, что он","подразумевает существование отдельных субъектов, которые обмениваются знаками"
"Для современной культуры обязательным условием возможности потребления, по Ж.Бодрийяру, является:",автономия вещей в качестве знаков
"Согласно Х. Ортега-и-Гассету, цель существования человека",поиск высшего начала
"Согласно Х. Ортега-и-Гассету, массовый человек связывает себя с государством, потому что","все перечисленные варианты верны (не сознает, что государство также произведено людьми; гордится государством; себя ощущает безликим и в государстве видит также безликую силу)"
"Критикуя современную культуру Европы за безнравственность, Х. Ортега-и-Гассетимеет в виду, что",современное общество не придерживается никакой моральной теории или ценности
"С позиции Н. Лумана, в современной культуре отображение реальности происходит, в первую очередь, посредством.",новостей
"Согласно Н.Луману, вместо религиозной морали в современном обществе перед человеком самым разнообразным способом ставит ориентиры и транслирует идеалы:",реклама
"С точки зрения Н.Лумана, склонность к самонаблюдению у современного человека развивает, скорее:",сфера развлечений
"С точки зрения Н. Лумана, системой, производящей реальность в условиях современности является:",масс-медиа
"Согласно Ж.Бодрийяру, в современной культуре предмет потребления должен восприниматься как лишенный:","всех вышеперечисленных характеристик (символических характеристик, значимых для людей психологически; функциональных характеристик; торговых характеристик)"
"По Й. Хейзинге, исследование и признание игры требует признания существования:",духа
"А. Тойнби подчеркивал, что в будущем XX в. будет привлекать внимание теми катастрофами и сенсационными событиями, свидетелями которых мы являемся",Нет
"Согласно А. Тойнби, разные эпохи имеют разное представление о времени, так что в прошлом сто истории лет казалось не меньшим сроком, чем сейчас – тысячелетие.",Да
"С точки зрения А. Тойнби, борьба цивилизаций в условиях современности приведет ко все большему размежеванию мира.",Нет
"А. Тойнби полагает, что культурное и духовное влияние мощнее политического и военного.",Нет
"А. Тойнби говорит, что советский строй и коммунистическая идеология – это ответ православного христианства на влияние Европы на Россию.",Да
"Согласно А. Тойнби, история, в самом общем виде, – это история народов и государств.",Нет
"Согласно Фрейду, прогресс в технике сопровождается аналогичным прогрессом культуры и общества.",Нет
"С точки зрения З.Фрейда, культура неизбежно предполагает насилие.",Да
"По Фрейду, важнейшая функция религии – это защита человека от природы.",Да
"С развитием естественнонаучных представлений функция религии, по Фрейду, смещается в область компенсации дефектов самой культуры.",Да
"Согласно З.Фрейду, все формы религии содержат в себе первобытный инцестуальный комплекс, который может быть описан как вина за убийство отца.",Нет
"Фрейд защищает религию и говорит, что если бы религия эффективно выполняла свою изначальную функцию, не было бы нужды в отказе от нее.",Да
"Фрейд утверждает, что в настоящее время религия представляет собой своеобразный психопатологический реликт, который следует устранить путем разумной работы.",Да
"С точки зрения Й. Хейзинги, игра появилась вместе с человеком и является его специфическим отличием от животных.",Да
"Согласно Й. Хейзинге, даже в развитии языка у человека можно обнаружить элемент игры.",Да
"С точки зрения Й. Хейзинги, игра определяет наше понимание добра и зла, поскольку напрямую связана с феноменом морали.",Нет
Более высокими формами игры Й. Хейзинга называл социальные игры,Да
"Согласно Й. Хейзинге, свободный характер игры напрямую связан с таким ее признаком, как нереальность.",Да
"Существенный признак игры, выделяемый Й. Хейзингой, в том, что она не имеет четких границ и определений, обособляется от жизни своей неопределенностью.",Нет
В «Критике чистого разума» Кант развивает эстетику как науку о прекрасном и возвышенном.,Нет
"И.Кант называет «чистыми» такие представления, содержание которых никак не относится к данным органов чувств.",Да
"И.Кант полагает, что задавать вопрос о том, существует пространство и время объективно вне нас или нет, бессмысленно.",Нет
"Кант однозначно утверждает, что пространство не может быть понятием, выведенным нами из наблюдений и экспериментов.",Да
"В своем учении о пространстве И.Кант, как он полагал, обосновал такой раздел естественной науки, как механика.",Да
"Говоря о «нападении на философию сверху и снизу», Н.А. Бердяев имел в виду религию и политику.",Нет
"Николай Бердяев обращает внимание на то, что исторически философия всегда была близка суевериям, повседневным мифам и т.п.",Нет
"Согласно Н.А. Бердяеву, вера есть эмоциональное отношение к окружающему миру.",Нет
"Бердяев полагал, что целостность и направление человеческому познанию дают чувства.",Да
"Н.А. Бердяев заявляет, что следует отказаться от поддержки существования философии в рамках научных и учебных институтов.",Да
"С точки зрения М.Шелера, человек может свободно выбирать, иметь какое-либо представление о сущности мира или не иметь никакого.",Нет
"Макс Шелер отмечал, что основная цель естественных наук – не использование природы и не самопознание человеком самого себя, а формирование логически стройной картины мира.",Нет
"Шелер утверждает, что даже если настоящее философское знание было получено на одном примере, оно, тем не менее, будет общезначимым.",Да
"По М.Шелеру, позитивные естественные науки вместе с философией участвуют в формировании священного знания.",Да
"М.Шелер приходит к выводу, что не может быть единого общезначимого метода формирования индивидуального мировоззрения каждого человека.",Нет
Интеллектуальное и эстетическое освоение мира через прекрасное человеческое тело впервые реализовалось:,в искусстве античности
Антропология возникает:,в Новое время
"Учение, согласно которому различные социумы можно распределить в соответствии с уровнем их развития, относится к:",эволюционизму
Слово «приматы» значит:,высшие
Важнейший контекст средневекового религиозного понимания человека:,иерархия отношений земного и небесного
"Особенность новоевропейской философии, которая существенно повлияла на становлении антропологии:",реабилитация человеческого тела
Одним из первых сформулировал представление о человеке как о субъекте познания:,Декарт
"Согласно И.Канту, человек есть:",конечная цель для самого себя
"Выберите суждение, лучше всего отражающее позицию Канта:","значимость человека как предмета исследования настолько велика, что знание о нем может назваться знанием обо всем мире"
Кем сформулированы следующие четыре вопроса «1. Что я могу знать? 2. Что я должен делать? 3. На что я смею надеяться? 4. Что такое человек?»,И.Кантом
Кто из этих двух философов не признает за человеком первостепенной роли:,оба (Г.В.Ф. Гегель; К.Маркс; ни один из них)
Появление философской антропологии как отдельной отрасли философского знания вначале XX в. связано с именем:,М.Шелера
Главное антропологическое произведение Макса Шелера называется,«Положение человека в космосе»
"Важнейшим стимулом построения антропологии для М.Шелера стало такое философское учение, как:",феноменология
"Важное методологическое замечание, существенное для построения философской антропологии и сформулированное М.Шелером, таково:","ученые исследуют происхождение человека, не отвечая на вопрос, что он по сущности"
"Важнейшая специфическая особенность и проблема человека, в методологическом смысле центральная для философской антропологии:","он – существо многомерное, не выразимое одним понятием"
Кто из перечисленных мыслителей не относится к философской антропологии:,Освальд Шпенглер
В XX в. исследования в области философской антропологии обуславливаются влиянием достижений в области:,"всем вышеперечисленным (этнологии, эмпирических полевых исследований; социальной антропологии; когнитивных исследований и философии языка)"
"В число направлений, исследовавших сущность человека в XX в., можно включить:",все вышеперечисленное (экзистенциализм; психоанализ; структурализм)
"М.Шелер утверждал, что особое положение человека:",не может быть определено без учета выводов естественных наук
"По М.Шелеру, «инстинкт — более примитивная форма психического бытия и процесса, чем сложные душевные образования, определенные ассоциациями». На каком основании он так утверждает?","существо, имеющее только инстинкт, менее свободно от окружающего мира"
"Что из нижеперечисленного, по мнению М.Шелера, радикально отличает человека от всего остального живого мира:","разум, дух"
"Согласно Тейяр де Шардену, сводить всякую науку к вопросу о человеке целесообразно, потому что:",человек является центром конструирования универсума
"Великой минутой в жизни человечества Тейяр де Шарден называл осознание того, что",точка сосредоточения универсального стремления к жизни
"Согласно Тейяр де Шардену, появление мышления следует рассматривать как:",важнейшее изменение состояние вселенной
"Согласно Э.Фромму, самый важный шанс и преимущество старости в том, что:",человек может посвятить себя философским размышлениям
"Согласно Э.Фромму, озабоченность болезнями, смертью и т.п. является:","проявлением «некрофилии», которая может быть и у молодого человека"
"Подлинная активность человека, в преставлении Э.Фромма, это:",испытывать непосредственный интерес к миру
"Продолжите мысль Ж.-П.Сартра: «Для экзистенциалиста человек потому не поддается определению, что первоначально ничего собой не представляет. Человеком он становится лишь впоследствии...»","...причем таким, каким сделает себя сам"
"Ж.-П. Сартр утверждал, что «первым делом экзистенциализм отдает каждому человеку во владение его бытие и возлагает на него полную ответственность за существование». Значит ли это, что человек имеет право заботиться только о себе?","нет: по Сартру, неся ответственность за свой собственный выбор, мы как бы создаваем образ человека, каким он должен быть."
"Согласно Сартру, человек, это существо, обращенное в будущее. Это значит, что:","в своем существовании человек проецирует себя в будущее, человек – это проект"
Эволюционизм как теория может сочетаться с,всем вышеперечисленным (естественнонаучной установкой; дарвинизмом; колониализмом)
"В терминологии И.Канта, «антропология» это:",всеобщая систематическая наука о человеке
"И.Кант полагал, что человек и есть самый главный предмет в мире, к которому все знания и навыки могут быть применены, потому что:",сам человек и является конечной целью
"Описывая основные черты человеческого рода, И.Кант практически сразу переходит к анализу гражданского общества. Причина в том, что:","Кант присоединяется к тезису, что человек предназначен быть членом общества по своей природе"
Какое соотношение терминов правильно?,"этика – это раздел знания, а мораль – предмет этого знания"
Латинское по происхождению слово «мораль» было введено в философию как,аналог и перевод слова «этика»
Исторически сложившийся образ нравственного поведения определенной социокультурной группы называется:,этос
Золотое правило нравственности содержит в себе требование:,взаимности
Какая позиция лучше всего отражает исходное отношение этики к человеку:,"человек не является ни добрым, ни злым"
"Доказательство того, что бог остается высшим добром, несмотря на существование зла, называются",теодицея
"Этическая категория, с которой непосредственно связано понятие свободы:",ответственность
В Средние века на первый план вышла проблема свободы от:,греха
Проблема сочетания свободы и всеобщего закона причинности характерно для,Нового времени
В экзистенциализме Ж.-П. Сартра понятия человек и свобода связаны следующим образом:,бытие человека и есть свобода
"Согласно Аристотелю, человек располагает таким «видом души», такой способностью, как:",разум
Аристотелю принадлежит знаменитое учение о добродетели как,середине между избытком и недостатком страсти
"Закончите знаменитую фразу Аристотеля, открывающую его этическое сочинение: «Всякий человек от природы стремится к ...",благу
Центральным в этике И.Канта стало понятие,долг
"Согласно Канту, категорический императив исходит из",уважения к моральному закону
Какая из приведенных ниже формулировок относится к категорическому императиву Канта:,"«Поступай так, чтобы ты всегда относился к человечеству и в своем лице, и в лице всякого другого так же, как к цели, и никогда не относился бы к нему только как к средству»"
Самая известная формулировка категорического императива Канта содержит в себе:,"все вышеперечисленное (формулировку идеи, по которой человек собирается совершить поступок; понятие всеобщего закона; формулу веления)"
Кантовское понимание автономии человека как нравственного существа значит,способность самому предписывать себе моральный закон
"Концепция, изложенная английским философом Дж.Э. Муром, с которой начинают историю нового этапа англо-американской этики, именуется",метаэтика
"Дж.Э. Мур критикует этику, которая превращает «добро» в некое естественное предметное свойство, что искажает понимание. Такой ход мышления он называет:",«натуралистической ошибкой»
