question,answer
Стоимость его оборудования - 100 млн руб,0.5  
"Предположим, некоторое оборудование сроком службы 5 лет может  амортизироваться по методу линейной равномерной и арифметически  дегрессивной амортизации",Четвертый
"Чему равен срок службы оборудования первоначальной стоимости 21000, если остаточная стоимость после половины срока службы при  арифметически-дегрессивной амортизации равна 6000?",6
Выберите правильную последовательность доминирующих ролей  бизнесмена на начальных стадиях жизненного цикла фирмы (используйте схему на слайде «Четыре роли бизнесмена»):,Профессионал – Менеджер – Предприниматель  
К каким типам затрат относится стоимость свиных туш для производства  разных мясопродуктов?:,"Основные, переменные, косвенные"
Что из перечисленного ниже НЕ относится к оборотным средствам  предприятия:,Нераспределенная прибыль, Полученные предприятием краткосрочные кредиты, Доли участия в дочерних предприятиях, Кредиторская задолженность; 
"К потерям и рискам, связанным с недостатком оборотных средств, можно  отнести:",Перебои в снабжении сырьем и материалами
"Если мы рассматриваем оборотные средства рознично-торгового  предприятия, будут отсутствовать следующие формы оборотных  средств:",Дебиторская задолженность; Сырье и материалы; Незавершенное производство; Кредиторская задолженность  
Что из перечисленного ниже относится к оборотным средствам  предприятия?,"Приобретенные краткосрочные ценные бумаги; Незавершенное производство; Отгруженная покупателю, но не оплаченная им продукция; Готовая продукция на складе готовой продукции; Запасы сырья на складе; Страховой запас топлива; Дебиторская задолженность; Авансы, выданные поставщикам; Депозитные вклады в банке; "
"К каким типам затрат относится аренда станка, производящего несколько  видов продукции:","основные, постоянные, косвенные"
На графике представлена зависимость затрат от объема производства  ,постоянным
Что из перечисленного ниже является частью оборотных средств  предприятия:,"Отгруженная покупателю, но не оплаченная им продукция; Незавершённое производство; Страховой запас топлива; Дебиторская задолженность; Депозитные вклады в банке"
"К каким типам затрат относится амортизация станка, производящего  несколько видов продукции:","основные, постоянные, косвенные"
Постоянные затраты некоторого предприятия составляют 750 млн,75
"Укажите, к каким типам затрат относится сдельная заработная плата  рабочего, производящего несколько видов продукции:  ","основные, переменные, косвенные"
"Продолжительность одного оборота оборотных средств, как правило,  выше в отрасли:",судостроительной  
Переход от выручки по факту отгрузки к выручке по факту оплаты может  осуществляться по схеме:,"По факту отгрузки + стоимость остатков отгруженной, но не оплаченной  продукции на начало отчетного периода -анализ стоимость остатков отгруженной, но не  оплаченной продукции на конец отчетного периода"
У прибыльного предприятия:,Маржинальный доход больше постоянных затрат
При каких условиях маржинальный доход может быть отрицательным?,"Когда убыток на предприятии больше постоянных затрат, Когда затраты на  производство дополнительной единицы продукции больше, чем цена единицы  продукции;"
"При прочих равных, при небольших изменениях объема производства и  реализации продукции маржинальный доход изменяется:","на ту же сумму, что и прибыль"
"Как изменится маржинальный доход на единицу, если при прочих равных  объем производства вырастет на 10%?",не изменится 
В каких случаях предприятию невыгодно брать заемные средства?,"Рентабельность активов ниже, чем ставка по кредиту"
"При прочих равных условиях операционный рычаг тем выше, чем больше:",постоянные затраты предприятия
"Как изменится операционный рычаг, если имеющее прибыль предприятие при прочих равных условиях увеличит объем производства на 10%?:",уменьшится
"Если у некоторого предприятия операционный рычаг равен 3, то при  росте объема продаж в 2 раза, прибыль:",нет правильного ответа
У некоторого предприятия постоянные затраты в 3 раза больше прибыли,увеличится на 5%
Некоторое предприятие в 2016 г,1.8  
Материально-производственные запасы - это,"материалы, товары, готовая продукция"
Направление части нераспределенной прибыли пошлых лет на  увеличение уставного капитала приводит к следующим изменениям в  балансе:,изменение в пассиве при сохранении равенства итогов баланса
Что из перечисленного НЕ является объектами бухгалтерского учета экономического субъекта в соответствии с ФЗ «О бухгалтерском учете»,социальные
Активы и обязательства в отчете о финансовом положении (балансе)  должны представляться:  ,"с разбивкой по категориям: оборотные и внеоборотные, долгосрочные и  краткосрочные"
"Возникновение положительной деловой репутации при покупке компании  является результатом того, что:",цена приобретаемой компании выше суммарной рыночной стоимости ее  активов 
Что является основным отличительным признаком всех активов?,будущие экономические выгоды
Актив бухгалтерского баланса включает:,виды ресурсов
15 сентября компания приобрела исключительные права на  нематериальный актив и в этот же день приняла его к учету,570
Компания является участником судебного процесса в качестве ответчика,1550
В отчетном периоде компания понесла расходы на приобретение  автомобиля для последующей сдачи в аренду (стоимость – 2 млн  ,2  
Налог на прибыль организаций в России зачисляется в федеральный и  региональные бюджеты,федеральный налог
Выберите правильные характеристики налога:,уплачиваемый в денежной форме
"У организации «Бета», производящей офисную мебель, средняя выручка  составляет 10 млрд руб",ежемесячно
Кто из перечисленных лиц не может быть плательщиком НДС (выберите  один наиболее точный ответ):,"физическое лицо, конечный потребитель"
"Организации, которые являются плательщиками НДС, перечисляют налог  на добавленную стоимость в федеральный бюджет:",по итогам квартала
Обязательные страховые взносы во внебюджетные фонды:,нет правильного ответа
Уплаченные обязательные страховые взносы во внебюджетные фонды:,Уменьшают налогооблагаемую базу по налогу на прибыль организаций в части страховых взносов по оплате труда административного персонала; Уменьшают налогооблагаемую базу по налогу на прибыль организаций в части 
"Российская организация ООО «Альфа» получает дивиденды от  организации «Омега», зарегистрированной на Кипре, в размере 100 млн   Укажите, какая величина налога на прибыль организаций будет уплачена  в Российской Федерации по полученным ООО «Альфа» дивидендам:",13 млн. руб.
"В 2018 году доходы ООО «Альфа» составили 900 млн руб, начисленная  заработная плата 500 млн руб., прочие расходы 200 млн руб, выплаченные дивиденды 100 млн руб. Укажите, какая величина налога на  прибыль организаций будет уплачена ООО «Альфа» по итогам 2018 года?",40
"Организация, которая применяет ставку НДС 0%, является  неплательщиком НДС:",неверно
В налоговом периоде организация реализовала продукцию на 1180 млн  руб,198 млн. руб.
"Выручка от реализации продукции ООО «Бета» в 1 квартале 2018 г используются для операций, облагаемых НДС; счет-фактуры  предоставлены. 24.04.18 ООО «Бета» перечислило НДС в бюджет. 26.04.18  был уплачен налог на прибыль за 1 квартал. Укажите, какая сумма налога  на прибыль была уплачена по итогам 1 квартала",360
Доходы ООО «Альфа» в 2018 г  ,621 тыс. руб.
"В ООО «Цемент» работают три сотрудника: А несовершеннолетних детей, а у Василия Сидорова – двое. Укажите общую сумму страховых взносов, которая будет уплачена за перечисленных  сотрудников в 2018 г.",804  
Конечным этапом в схеме маркетинговой стадии бизнес-плана является:,Программа реализации по периодам
Планирование маркетинга на предприятии включает в себя:,Определение стратегии; Политика ценообразования; План сбыта
По результатам SWOT-анализа компания заняла в SWOT-матрице  положение на пересечении S и T предпочтительную стратегию для данной компании:,Использование сильных сторон для нейтрализации угроз
Благоприятное движение валютного курса согласно SWOT-анализу относятся к:,возможностям
В состав ATL-каналов не входит:,"прямой маркетинг, спонсорство, ярмарки"
К BTL-каналам относится:,"PR, выставки, личные продажи   "
Какой тип рекламы занимает наибольшую долю в объеме рекламного  рынка РФ?,телевидение и интернет
Какой показатель характеризует сумму рейтингов всех выходов  сообщений рекламной кампании:,GRP
В ТОП-3 наиболее популярных технологий интернет-рекламы входят:,"Big Data, контент маркетинг, автоматизация маркетинга"
"Некоторое предприятие производит узкоспециализированный продукт,  который обладает определенной нишей","пресса, тематические каналы, контекстная реклама"
"Рассчитайте CTR и CPC проведенной рекламной кампании в интернете,  если известно, что количество кликов составило 2 тыс., бюджет рекламы  30 тыс",0.2; 15 руб.
"Известно, что объем потребления продукта А 1,5 млн",90  
"Важнейшим разделом бизнес-плана, на этапе изучения которого большая  часть заявок отсеивается внешним пользователем, является:",резюме
"На этапе написания «заявки» традиционного бизнес-плана для среднего  инвестора, как правило, имеет наибольшее значение наличие:  ",обоснования успешности проекта
Данный документ предоставляет информацию об прогнозном объеме  необходимого финансирования проекта:,проект отчета о движении денежных средств 
"К показателям операционного плана, обычно не включающимся в  финансовый план, можно отнести:","фондоотдача, средний возраст оборудования, оптимальный размер заказа,  фондоёмкость"
"Известно, что годовая потребность в материалах составляет 100 тыс",1095
Потребности предприятия в некотором продукте составляют 120 000 шт,"1 раз в квартал"
"Налоги разделяются на федеральные, региональные и местные исходя из того:",на каком уровне власти устанавливается налог
"Расходами для целей налогообложения могут быть:","Только затраты, соответствующие критериям НК, вне зависимости от их прямого упоминания в НК"
"Рассмотрение структуры и стиля управления менеджеров, системы мотивации персонала, заработной платы - это признаки того, что исследуется",Предприятие
"Чему равен срок службы оборудования первоначальной стоимости 21000, если остаточная стоимость половины срока службы при арифметически-дегрессивной амортизации равна 6000?",6
"С расчетного счета перечислено погашение задолженности по краткосрочному кредиту банка. Данная операция приводит к следующим изменениям в балансе:","нет правильного ответа (ответ в тесте) (активно-пассивные изменения в сторону уменьшения итога баланса)"
"Задолженность по кредитам и займам отражается в балансе","в сумме основного долга и процентов к уплате до истечения договора. (или на конец отчетного периода?)"
"Раздел капитал и резервы бухгалтерского баланса включает следующие статьи:","добавочный капитал, нераспределенная прибыль прошлых лет, резервный капитал, собственные акции (а, б, д , е)"
"Какое определение точнее всего передает смысл “предпринимательская деятельность”?","связанная с риском хозяйственная деятельность самостоятельных субъектов рынка"
"Обладание знаниями, значимыми для организации, образование, финансовая самостоятельность, независимое поведение – это признаки (возможно несколько вариантов ответа):",Профессионала
"Выберите определение понятия корпоратизация:","Отделение со – ти от текущего управления, т е процесс делегирования полномочий из рук со – ка проф. Управляещему (мененджеру)"
"Выберите роль бизнесмена, который распоряжается факторами Труд и Земля на предприятии:","топ-менеджер"
"Если мы исследуем интеграционные процессы в экономике, заботимся о развитии бренда (фирменного наименования), то мы говорим о:",фирма
"С какой целью происходит корпоратизация фирмы:"," Обеспечить независимость фирмы от состояния здоровья и жизни конкретных личностей (персон) и тем самым, обеспечить ей долгосрочное существование"
"Термин «юридическое лицо», которое употребляют юристы, соответствует термину:","организация"
"Выберите описание термина «портфельный работник»:","Работник, который имеет портфель заказов, но не работает в организации по найму"
"В результате какой операции возникает дебиторская задолженность у организации?","Организация получила аванс от покупателя"
"В состав финансовых вложений организаций не включаются:","Выпущенные самой организацией ценные бумаги"
"При выполнении каких перечисленных ниже условий оценочное обязательство должно признаваться в бухгалтерском учете? (несколько вариантом ответа):","ВСЕ ПОДХОДИТ, кроме НЕТ ПРАВИЛЬНОГО ОТВЕТА"
"Какой фактор производства предоставляет фирме предприниматель?",Капитал
"Выберите верное утверждение относительно некоммерческих организаций:","некоммерческая организация имеет право заниматься коммерческой деятельностью но обязана всю прибыль направлять на (цели, декларированный в уставе, ЭТО ВАЖНО)"
"Компания «Весёлый кондитер» выпускает торты по традиционным рецептам, переданным в компанию одним из ёе владельцев (оценка по соглашению с учредителями – 100 тыс. руб.). Для производства она использует муку, яйца, ром, сливочное масло, молоко, цукаты, мёд, соль и сахар, корицу и другие пряности (итого стоимость продуктов на месяц – 500 тыс. руб.). В производственном помещении (цехе) – стоит 2 000 тыс. руб. – в мешальных машинах (приобретены за 700 тыс. руб.) кондитеры замешивают тесто, изготовляют коржи, размещают их на противнях и ставят в печь выпекаться. Выпеченные коржи пропитываются и украшаются кремом. Готовые торты упаковывают в коробки и ставят на транспортеры (арендованы за 25 тыс. руб. в мес.), с помощью которых торты грузятся в машину (арендована за 20 тыс. руб. в месяц). Машина с тортами отправляется в кондитерские магазины и универсамы города. Определите стоимость нематериальных активов компании. (ответ в полных тыс. руб. Например: 203)","100"
"Российская организация ООО «Альфа» получает дивиденды от организации «Омега», зарегистрированной на Кипре, в размере 100 млн. руб. (ООО «Альфа» с 2002 г. владеет 15% в уставном капитале «Омега»). Укажите, какая величина налога на прибыль организаций будет уплачена в Российской Федерации по полученным ООО «Альфа» дивидендам:",13
"В налоговом периоде организация реализовала продукцию на 1180 млн руб. (в т.ч. НДС), в том числе 472 млн руб. в счёт аванса, полученного в предыдущем году; заключила договор на поставку продукции в следующем году на 2360 млн руб. (в т.ч. НДС) и получила аванс в счёт этой поставки на 590 млн руб. НДС уплачивается по базовой ставке. Укажите величину обязательства организации по НДС по итогам налогового периода:",198
"В 2018 году доходы ООО «Альфа» составили 900 млн руб., начисленная заработная плата 500 млн руб., прочие расходы 200 млн руб., выплаченные дивиденды 100 млн руб. Укажите, какая величина налога на прибыль организаций будет уплачена ООО «Альфа» по итогам 2018 года? (ответ в полных млн руб. Например: 31)",40
