question,answer
Раппорт – это:,состояние бессознательного доверия и гармонии во взаимодействии с человеком
Термин Я-слушание обозначает:,Фильтр восприятия речи другого человека
Среди типов активного слушания нет одного из нижеперечисленных,Логическое
Эмпатия в деловом общении - это,"Понимание и чувствование переживаний другого человека, при одновременном сохранении собственной позиции. "
"Специалисты по деловой коммуникации выделяют следующие техники рефлексивного слушания, кроме одной, какой именно?",Объяснение
Зеркальный вопрос – это:,Повторение с вопросительной интонацией одного или нескольких слов собеседника с целью прояснить смысл сказанного
"Особенностью открытого вопроса является то, что",Он открывает пространство для развернутого ответа
"Фундаментальное правило коммуникации заключается в том, что","Смысл сообщения, раскодированный получателем, никогда точно не соответствует смыслу, заложенному в это сообщение отправителем"
Среди специфических недостатков интерпретации как техники активного слушания нет:,Риска вызвать раздражение говорящего
Эмпатическое слушание не предполагает:,Вербализацию скрытых мыслей собеседника
При вербализации чувств собеседника стоит использовать,нейтрально-уважительные формулировки
Выберите группы отличительных черт письменной деловой коммуникации,"прагматичное целеполагание; сосредоточенность на предмете – деле; формализация и лапидарность лексики; тщательное планирование коммуникации, контроль её процесса и результата; "
"Выберите выражения, которые не следует использовать в письменном деловом общении",Милостивые государи и государыни!
Выберите наиболее подходящую форму обращения к руководителю первичного и среднего уровня управления организацией,Уважаемая Елена Николаевна!
Выберите наиболее подходящую форму обращения к единоличному руководителю организации ,Многоуважаемый Федор Васильевич!
"Выберите наиболее подходящую форму обращения к единоличному руководителю организации, имеющему многолетний опыт руководства.",Глубокоуважаемый Петр Михайлович!
Из пяти функций деловой коммуникации выберите их минимально необходимое число для письменных сообщений,Организационная (проактивная) - побуждение к действиям (или воздержаться от действия); информационная - предоставление информации; коммутативная (налаживания и развития отношений)
"Выберите, что из указанного ниже не относится к компоненту саморегулирования в механизме регламентации письменных коммуникаций",Международные стандарты деловой переписки; инструкции по делопроизводству отдельных организаций
Выберите корректный перечень функций ГОСТов по делопроизводству,"Предоставляют сведения об оптимальной структуре писем и документов, правила оформления каждого элемента (реквизита); обеспечивают возможность создания системы документов в каждой организации на основе образцов основных видов внешних и служебных документов; облегчают восприятие документов адресатами путем детализации требований – к шрифту (гарнитурам, размеру), длине строк и интервалам, абзацному отступу и полям, выравниванию текста, нумерации страниц максимальному числу знаков в строке; к выделению текста полужирным текстом."
"Выберите, какой из каналов деловой коммуникации подвергается строгому контролю со стороны работодателя и имеет такие ограничительные правила использования, за нарушение которых работник может быть подвергнут дисциплинарному взысканию вплоть до увольнения за разглашение служебной информации.",корпоративная электронная почта
Выберите корректный набор компонентов формулы эффективной переписки:,"Корректность подачи информации, взятой из официальных источников; четкость постановки задачи; разумность сроков взаимодействия; создание положительного настроя у адресатов."
"Проведите соответствие: Перечисленные факторы определяют успешность общения: 
А. Заинтересованность, паритетность, настроенность на собеседника, умение проникнуть в коммуникативный замысел говорящего, способность варьировать способ языкового представления мысли. 
Б. Родство, гендер, харизматичность, умение доминировать, владение манипулятивными технологиями.",А - истина; Б - ложь
Выберете правильный ответ: Принцип кооперации от Пола Грайса предписывает следующее:,"Первое: «Высказывание должно содержать не меньше информации, чем требуется»; Второе: «Высказывание не должно содержать больше информации, чем требуется»"
Выберете правильный ответ: Какими компонентами определяется речевая ситуация?,"внешние и внутренние условия общения, участники общения, характер их отношений, субординация."
Успех деловой коммуникации зависит от,"аналитического слушания, вопросов на уточнение, заинтересованности в обмене мнениями, паритетности общения, правильного использования терминов, умения перефразировать."
"Определите порядок подготовки речи, расставив цифры напротив каждого этапа от 1 до 9 
1 Определение цели 
2 Подбор материала. 
3 Расположение материала в нужной последовательности. 
4 Репетиция. 
5 Словесное оформление речи. 
6 Составление плана, 
7 Усвоение текста речи. 
8. Определение темы выступления 
9. Анализ аудитории и ситуации 
Ответ запишите в формате 123456789",819263574
Выберете правильный ответ: Какую роль играет в речи фактический материал?,"воздействует на рациональную сферу слушателей, делает речь убедительной"
Назовите ошибки в слайде презентации из приведенного перечня.,"висячие строки, линейное форматирование, дублирование информации в заголовке слайда и в теле слайда"
Какую роль играет невербальная коммуникация в процессе общения между людьми:,"Имеет большое значение в сочетании с вербальным компонентом, так как 80% информации получаем через невербальные каналы"
"Верны ли следующие суждения? 
А) Проксемика изучает расположение тела в пространстве в процессе коммуникации 
Б) Хаптика связана с отношением ко времени и его использованию в процессе коммуникации",Верно только А
"Из приведённого ниже списка выберите необходимые невербальные элементы, которые должны сопровождать приветствие в деловой коммуникации:","улыбка, открытый взгляд, рукопожатие"
"При ведении деловых переговоров, какие жесты партнёра заставят Вас понять, что он (она) настроен(а) скептически и не согласны с Вашими словами:",взгляд поверх очков
"Если ваш собеседник чем-то взволнован, то какой темп будет у его речи?",Он будет говорить очень быстро и сбивчиво
О чём Вам скажет громкий голос собеседника?,"Ваш собеседник очень уверен в том, что говорит"
Какую дистанцию лучше всего держать с партнёром в деловых переговорах:,"в зависимости от уровня знакомства с партнёров, если новый незнакомые то социальную, при повторных встречах и переговорах можно перейти на личную"
Какое основное требование предъявляется к таким аксессуарам как очки и часы:,Они должны быть выполнены из хороших материалов
"Назовите два базовых цвета делового гардероба, которые всегда будут смотреться выигрышно в деловой коммуникации:
Ответ напишите через запятую (Например: ""Розовый, красный"")","черный, синий"
"Назовите две составляющих вокалики: 
Ответ запишите через запятую (Например: ""квадрат, треугольник"")","экстралингвистика, паралингвистика"
