"«Благо», «справедливость», «добродетель» являются категориями такой философской науки, как:",этика
"В чем причина того, что работа И.Ньютона называлась «Математические начала натуральной философии», К.Линнея – «Философия ботаники», а Ж.Б.Ламарка – «Философия зоологии», и они считались частью философии?",они все рассматривали основные категории и проблемы своих областей верно
"В число важнейших аспектов существования семьи, по Гегелю, входят:",все вышеперечисленное
"В число направлений, исследовавших сущность человека в XX в., можно включить",структурализм
"В число направлений, исследовавших сущность человека в XX в., можно включить:",все вышеперечисленное
В экзистенциализме Ж.-П. Сартра понятия человек и свобода связаны следующим образом,бытие человека и есть свобода
В эпоху Возрождения образец для формирования нового отношения к природе - ,античная культура
В эстетическом опыте произведение искусства не отличается принципиально от красоты природы так как,"впечатление связано с произведением вне зависимости от того, кто создал данный объект"
"В.С. Соловьев полагал, что особенностью человека, делающей из него нравственное существо, является",разумная убежденность в значимости идеи добра
"В.С. Соловьев утверждает, что",нравственность невозможно свести к психологии
"В.С. Соловьев формулирует важную для всей этики проблему свободы воли и детерминизма, которая заключается в том, что","все действия человека имеют естественную причину, поэтому нельзя говорить о нравственности верно"
"Важная характеристика истины в том, что она:",остается неизменной
"Важнейшая специфическая особенность и проблема человека, в методологическом смысле центральная для философской антропологии:","он – существо многомерное, не выразимое одним понятием"
"Важнейшая теоретическая проблема взаимоотношения религии и философии, согласно С.Л.Франку, такова:",может ли философия не быть рациональной?
"Важнейшая цель метода, предлагаемого Декартом, в том, что он:",позволяет пользоваться собственным разумом наилучшим образом
Важнейший вклад Фрэнсиса Бэкона,развитие индуктивного метода
Важнейший контекст средневекового религиозного понимания человека:,иерархия отношений земного и небесного
"Важнейший методологический принцип исследования медиа в том, что",медиа влияют на содержание передаваемого сообщения
"Важнейшим выводом исследования Кантом чувственного восприятия с его формальной стороны, является то, что формами чувственного созерцания являются:",пространство и время верно
Важнейшим моментом в смене коммуникативных моделей человечества стало,все вышеперечисленное верно
"Важнейшим стимулом построения антропологии для М.Шелера стало такое философское учение, как:",феноменология верно
"Важное методологическое замечание, существенное для построения философской антропологии и сформулированное М.Шелером, таково:","ученые исследуют происхождение человека, не отвечая на вопрос, что он по сущности "
"Важность природы для человека в том, что она является источником:",все вышеперечисленное
"Важность ценностей как части структуры мировоззрения определяется тем, что они:",выражают основные потребности и интересы человека верно
Важным для содержания исторического факта является сопоставление исторического процесса и ...,уровня развития конкретного общества
"Великой минутой в жизни человечества Тейяр де Шарден называл осознание того, что",точка сосредоточения универсального стремления к жизни 
"Вера по Канту, это",уверенность в собственном спасении
"Вико рассматривает исторический процесс в качестве явления, в котором не просто происходят некие факты, но люди творят языки, государства, нравы. То есть, он:",видит в истории историю возникновения и развития человеческих обществ и их институтов
Во взаимодействии человека с другими людьми формируются:,"сознание, речь, трудовые навыки"
Впервые церковь институализируется во времена:,упадка Римской империи
Все ли эстетические категории носят оценочный характер?,все
Выберите правильное утвержение,"философии как никакой другой форме освоения мира человеком, присущ методологический плюрализм"
"Выберите суждение, лучше всего отражающее позицию Канта:","значимость человека как предмета исследования настолько велика, что знание о нем может назваться знанием обо всем мире верно"
"Высшее содержание научной деятельности, по В.С.Соловьеву, должно состоять в:",объяснении сущности и целей существования мира
Высшую критическую точку состояния наибольшей сложности вещества и развитости мышления Тейяр де Шарден называет:,точка омега
Выяснение причин возникновения и распространения представлений о богах икультовой практики является предметом исследования,философии религии
"Г.В.Ф. Гегель утверждал, что в семье индивид, благодаря природному чувству любви, постигает свою общественную сущность. Он называл это:",непосредственной субстанциальностью духа
"Г.-Г. Гадамер написал небольшую, но ключевую для понимания работу...",Истина и метод 
"Гармония с окружающим миром характерна для традиционных культур, в то время как инновационные культуры зачастую вступают на путь борьбы "" со стихией"". Такой стала культура",Нового времени
"Гегель считает, что женщина может быть образованной, однако:","она не способна обладать идеальным, не способна воспринимать философию и некоторые высшие науки"
"Гегель считает, что исходным пунктом брака является свободное согласие лиц составить одно лицо (семью), при этом:",теряется единичная личность каждого
"Гегель утверждал, что в государстве нет любви, поскольку в нем",единство осознается в качестве закона
"Главная критика Франком рационалистической философии истории заключается в утверждении, что две ее главные предпосылки ложны, поскольку:","история движется независимо от развития умственного развития, и жизнь человека от него зависит не всегда"
Главное антропологическое произведение Макса Шелера называется,«Положение человека в космосе»
"Главной стратегией современного капитализма является биополитика. Она предполагает, что необходимо:","проявлять интерес к человеку, во всей полноте его бытия, его жизни"
Главным вопросом философии Иммануил Кант считал,Что такое человек?
Господство рационализма и прагматизма в современной эстетике связано:,с рационализмом и герменевтическим дискурсом кураторов и искусствоведов верно
"Государство – сила, удерживающая людей от худших их проявлений. Так считал:",никто из вышеперечисленных
"Гуманизм эпохи Возрождения, в отличие от средневековых мыслителей, полагали, что:","природное и божественное в человеке находятся не в противоборстве, а в гармонии"
Два основных прямых последователя Вико в XIX веке:,И.Г. Гердер и И.Г. Фихте
Двигателем буржуазной цивилизации является:,классовый конфликт верно
"Дж.Э. Мур критикует этику, которая превращает «добро» в некое естественное предметное свойство, что искажает понимание. Такой ход мышления он называет:",«натуралистической ошибкой» верно
"Диалектика исходит из того,что",все вышеперечисленное
Диалектический метод был в новоевропейской философии обновлен:,Г.В.Ф.Гегелем
"Для взаимодействия человека и культуры , производства объектов культуры и освоения ее употребляется такая пара терминов, как",опредмечивание и распредмечивание
Для Джамбаттисты Вико история – это:,"непрерывное настоящее, представляющее собой становящееся новое общество"
Для Джамбаттисты Вико история-это,процесс непрерывного линейного развития
Для понимания истины в Новое время характерен акцент,на самом познающем истину объекте
"Для современного общества с его глобальным использованием техники, распространением человека по всей поверхности Земли, природа планеты становится",частью культуры
"Для современной культуры обязательным условием возможности потребления, по Ж.Бодрийяру, является:",автономия вещей в качестве знаков
"Для того, чтобы отождествить медиареальность и современное общество, необходимо представление об обществе как","форме, системе коммуникации"
"Для христианства исторический процесс одинаков, его процесс для всех един. Это происходит потому, что:",все люди и все народы вовлечены в осуществление божественных предначертаний верно
"Для этики имеют значение не поступки и убеждения, а знание и аргументы; обычные критерии истинности, основанные на фактах, не применимы к ценностным высказываниям – это позиция",Дж.Э. Мура верно
"Договор, согласно Т. Гоббсу, считается нарушенным, если:","имеет место несправедливость, т.е. невыполнение его условий"
"Доказательство того, что бог остается высшим добром, несмотря на существование зла, называются",теодицея
Духовность и аскетизм поддерживается и пропагандируется официальной культурой:,Средневековья
"Духовный опыт человека может определять идейно-смысловое, ценностное единство общества, благодаря которому экономические, социальные и политические различия...",примиряются
"Единственным направлением авангардного искусства, которое наследует идее геометрической гармонии, У.Эко называет:",абстрактное искусство
"Если мы определим красоту как гармонию, что, в таком случае, будет условием красоты предм...",соразмерность форм предмета
"Если учесть, что природа порождает человека, постоянно присутствует в нас и в нашей жизни, является важной составляющей многих окружающих нас предметов, а близость человека к природе – явное благо, то отрыв от природы будет значить:",смерть
"Ж.-Ж.Руссо говорит, что не может быть причинен ущерб там, где отсутствует собственность, и называет это:",аксиомой Локка
"Ж.-Ж.Руссо считает, что равенство исчезло, и появилась собственность только тогда, когда:",один человек стал нуждаться в помощи другого
"Ж.-Ж.Руссо утверждает, что древние люди сами «надели ярмо» на себя и своих потомков, доставляя себе разнообразные удобства,...:",которые стало мучительно потерять
"Ж.-П. Сартр утверждал, что «первым делом экзистенциализм отдает каждому человеку во владение его бытие и возлагает на него полную ответственность за существование». Значит ли это, что человек имеет право заботиться только о себе?","нет: по Сартру, неся ответственность за свой собственный выбор, мы как бы создаваем образ человека, каким он должен быть. верно"
"Желательным состоянием социума в условиях современности с ее экологическими кризисами, глобальным использованием техники и распространением массовой культуры потребления является",устойчивое равновесие
Завершите мысль У.Бека: в условиях глобальной культуры современности люди есть то,что они покупают
"Закончите знаменитую фразу Аристотеля, открывающую его этическое сочинение: «Всякий человек от природы стремится к …",благу
Закончите знаменитый афоризм М.Маклюена: Метод коммуникации,и есть само сообщение
Знаменитая первая попытка свести представления о боге к сущности и проблемам человеческого существа принадлежит:,Л. Фейербаху
Знание отождествлял с добродетелью:,сократ
Золотое правило нравственности содержит в себе требование:,взаимности
"И. Кант является автором строгой этической концепции, которая выражена им в нескольких трудах, в том числе в","""О мнимом праве лгать из человеколюбия"""
"И.Кант полагал, что наше познание начинается с чувственного опыта","однако, до всякого познания в душе есть форма познания верно"
"И.Кант полагал, что человек и есть самый главный предмет в мире, к которому все знания и навыки могут быть применены, потому что:",сам человек и является конечной целью
"И.Кант утверждает, что для того, чтобы считать нечто прекрасным, нам требуется",ничто из перечисленного выше 
И.Кант формулирует следующее определение прекрасного:,"вещь, о которой мы судим без всякого интереса верно"
"Й.Хейзинга в своих исследованиях показывает, что многие феномены культуры подпадают под признаки игрового действия. Один из этих признаков:",все вышеперечисленные
Идеалы как часть мировоззрения выполняют функцию,ориентирующую
Идеология экологического движения является по преимуществу,антиглобалистской
Идея подчинения природы нуждам человека характерна для культуры,Нового времени
изначальный смысл слова культура,возделывание
"Институциональность государства неочевидна, поскольку...",первобытные общества вообще не имели никакого государства
Интеллектуальное и эстетическое освоение мира через прекрасное человеческое тело впервые реализовалось:,в искусстве античности
"Исследование общих моделей мысления и , как следствие, языка как способа упорядочевания мира,становиться важным для такого направления",структурализм
Истинные и вечно тождественные самим себе сущности Платон называл:,идеи
Историки христианства относили апокалиптический момент истории к:,все вышеперечисленное
Исторически сложившийся образ нравственного поведения определенной социокультурной группы называется:,этос
"История древних греков не легенда, а исследование, и именно поэтому она не теократична, а - ...",гуманистична
История получила распространение в период мировоззренческого кризиса. Свою очевидность утрачивает:,истина мифа
"Источник экологических проблем XX в., варварского отношения к природе:",антропоцентризм Нового времени
"Исходное значение слова ""культура""","""возделывание"""
"Итальянский философ У.Эко находил возможность назвать «открытым произведением» и современное искусство, и современную рекламу, потому что",в современном искусстве и рекламе предполагается активная роль зрителя верно
К XVI веку идея творения и спасения меняется на идею...,творчества
"к естественнонаучной антропологии не относиться(тся, долбоеб) исследование",различных культур и исторических судьбы
К какому подразделению классификации не относиться Homo sapien,первичноротые
К категориям гносеологии относят,ни одна из перечисленных
К области эстетики относится вопрос:,является ли красота свойством самой вещи или объективно прекрасного или безобразного не существует?
К областям философии (философским наукам) не относится:,поэтика
К первобытной форме религии относят:,фетишизм
К первому виду «перепадов» в развитии идеи Красоты в массмедиа У.Эко относит:,разнообразие соседствующих моделей красоты в каждый период
К философии религии относятся,все вышеперечисленное верно
Как возникает недоверие к метасценариям в современной культуре?,"развитие истории приводит к тому, что истины, казавшиеся несомненными, ставят под сомнение"
Как возникает недоверие к метасценариям в современной культуре?,"воздействие правоставного христианства, ислама, индуизма и Дальнего Востока на культуру Запада"
Как удостовериться в истинности своего суждения?,опыт является единственным достоверным критерием истинности
"Какая из перечисленных проблем представляет глобальную опасность, согласно У.Беку?",все вышеперечисленное
Какая из приведенных ниже формулировок относится к категорическому императиву Канта:,"«Поступай так, чтобы ты всегда относился к человечеству и в своем лице, и в лице всякого другого так же, как к цели, и никогда не относился бы к нему только как к средству» верно"
какая наука занимается исследованием культуры,культурология
какая пара эстетических категорий образована неправильно?,возвышенное-порочное
Какая позиция лучше всего отражает исходное отношение этики к человеку:,"человек не является ни добрым, ни злым"
Какая религия не входит в число мировых:,иудаизм 
Какая эстетическая категория может считаться основной?,«прекрасное» верно
Какие из перечисленных произведений принадлежат Аристотелю,все перечисленные
Какие из перечисленных философов относятся к философскому прагматизму?,Чарльз Сандерс Пирс верно
Какие качества характеризуют человека-представителям массовой культуры?,все вышеперечисленное
"Какие положения, по Канту, являются основополагающими для нравственности, и поэтому требуют своего доказательства на основании опыта и примеров?",ни одно из перечисленных
Какие социальные события и идеи не способствовали окончательной смене взгляда на историю в Европе ,ничего из вышеперечисленного
"Какова, по Р. Ингардену, роль реального предмета для эстетического переживания?",эстетическое переживание иногда начинается c наблюдения реального предмета верно
Каково соотношение эстетического опыта и художественного опыта?,художественный опыт – разновидность эстетического
"Каково, по В.С. Соловьеву, положение этики среди других дисциплин?","содержательно она связана с религией, а формально – с теоретическою философией верно"
"Какого из приведенных ниже принципов нет в списке правил, предлагаемых Декартом в качестве основных правил метода:","упражнять рассудок, не утомляя сильно воображение верно"
"какого рода зание, с позиции В.С.Соловьева, составляет предмет философии?",абсолютная истина
Какое из данных суждений справедливо относительно эстетического опыта?,"для эстетического опыта не требуется, чтобы чувственные данные были представлены в полном виде и были соотносимым с тем или иным реальным объектом верно"
Какое из перечисленных качеств характерно для эстетического опыта?,уникальность переживаний
Какое из перечисленных ниже религиозных движений возникло гораздо раньше ХХ в.,все вышеперечисленные возникли в ХХ в.
какое из перечисленных свойств не принадлежит к эстетическим категориям?,идея причинно-следственной связи между явлениями
Какое из перечисленных слов может обозначать мир в целом?,все вышеперечисленные
Какое событие лишило человека доверия к окружавшей действительности и дало начало новому витку развития истории как науки?,падение Римской империи
Какое соотношение терминов правильно?,"этика – это раздел знания, а мораль – предмет этого знания верно"
Какое суждение лучше всего отражает позицию Х. Ортега-и-Гассета?,человечество обращает внимание всегда на наиболее близкие для него истины
Какое суждение о строении эстетического опыта верно?,эстетический опыт является сложным процессом с характерным для него строением
Какой вид истины отсутствует в классификации Вл.Соловьева?,относительная
"Какой из перечисленных ниже признаков, по Г.Риккерту, принадлежит природе:",все вышеперечисленные
Какой из перечисленных предметов исследования не относится к философии религии?,исторические формы религии
Какой из перечисленных элементов входит в определение высшего человеческого блага у Аристотеля?,все вышеперечисленные
Какой из перечисленных элементов присутствует в современном научном понятии культуры:,все вышеперечисленное
"Кант является автором строгой этической концепции, которую описал в книге",О мнимом праве лгать из человеколюбия
Кантовское понимание автономии человека как нравственного существа значит,способность самому предписывать себе моральный закон
Кем сформулированы следующие четыре вопроса «1. Что я могу знать? 2. Что я должен делать? 3. На что я смею надеяться? 4. Что такое человек?»,И.Кантом
"Коль скоро, по Дж.Э.Муру, «благо» есть простое качество, относительно него осмысленно ставить только такие вопросы:","существуют ли причинная связь каким-либо предметом и теми предметами, которые имеют качество «благо»"
"Концепция, изложенная английским философом Дж.Э. Муром, с которой начинают историю нового этапа англо-американской этики, именуется",метаэтика
"Критикуя современную культуру Европы за безнравственность, Х. Ортега-и-Гассет имеет в виду, что",современное общество не придерживается никакой моральной теории или ценности
Кто из перечисленных мыслителей не относится к философской антропологии:,Освальд Шпенглер верно
Кто из этих авторов не был представителем психоанализа?,Ж.Батай
Кто из этих двух философов не признает за человеком первостепенной роли:,оба
"Культуру иногда называют инобытием человека. Причина в том, что",культура – это результат деятельности человека в предметном мире
Латинское по происхождению слово «мораль» было введено в философию как,аналог и перевод слова «этика» 
"Латинское слово «medium», корень которого есть в словах «медиасреда», «медиареальность», значит:",«находящееся посреди»
"М.Шелер утверждал, что особое положение человека:",не может быть определено без учета выводов естественных наук
"М.Шеллер отмечает, что исследование природы и определение ее законов непосредственно зависит от восприятия органами чувств",повторяющихся явлений
Макс Шелер вошел в историю философии как ,создатель философской антропологии
"Манифестом экзистенциализма считается работа Экзистенциализм - это гуманизм, написанная ",Сартр
"Марксизм совершенно прав в том, что называет идеологию извращенной, ложной формой общественного сознания. Это связано с тем, что ","она отражает интересы не общества в целом, а только какой-то его части"
Массовизация средств обмена информацией является важнейшей чертой коммуникации человечества в:,XXI в.
"Метафизическая точка зрения исходит из того, что",Сущность всякой вещи изначально неизменна
Мировоззрение включает в себя осознание отношения:,все вышеперечисленное
"Мировоззренческая позиция, согласно которой человек является основным существом в мире и важнейшим предметом исследования:",антропоцентризм
"Множество определений культуры в истории философии связано с тем, что:",Понятие природы понималось по-разному в разные времена
"Можно ли утверждать, что мы достигли полного понимания того, что такое человек",среди ученых и философов отсутствует консенсус...
"Монополия государства на насилие вместе с сосуществованием в условиях современности множества различных взглядов на жизнь и ценностей, имеет следствием",возрастание роли индивидуальной и групповой агрессивности
"Мы далеко не всегда знаем истину, но ее важно знать, потому что она:",всегда имеет к нам отношение
"Мысль Бердяева о том, что философское познание зависит от опыта человека, значит, что философия зависит от:",опыта радикального преобразования действительности
"Н.Кондорсе написал труд, посвященный обоснованиям неизбежности совершенствования общества, который называется",эскиз исторической картины
На какой возможный риск лжи во спасение указывает Кант?,"ты станешь виновником смерти человека, потому что солгав наугад, случайно назовешь его правильное местоположение верно"
На латинском «истина»:,veritas
"Наиболее важными направлениями в современной эстетике, исследующим структуру эстетического опыта, являются",обе эти традиции
"Настаивая на том, что поэты должны быть изгнаны из идеального государства, Платон исходил из того, что инструмент познания это:",мышление
Насчитывается более 170 определений культуры. Знаменитая подборка этих определений принадлежит,американским антропологам А. Креберу и К. Клакхону
Началу философской антропологии было положено в трудах,никого из перечисленных
"Непременным условием устойчивости, и безопасности общества является:","согласование интересов множества групп, различных по роду деятельности, ценностям, образу жизни"
"Ниже перечислены четыре основных вопроса философии ""во всемирно-гражданском значении"", как они даны И. Кантом в его ""Логике"". К камому из данных четырех вопросов могут быть сведены остальные","""Что такое человек?"""
"Нормативный элемент государственного управления необходим, но он может быть малоэффективен, если","нет принуждения, легального использования силы"
О чем сообщает появление в XIX веке понятия «нация»?,"о том, в это время появляется огромное число людей, активно заявляющей о своей социальной позиции, зарождаются общности, воспринимающие себя как единую силу"
"Областью философии, предметом которой является общество, является",социальная философия
Общение-это,"универсальная форма бытия людей, выражающаяся в их взаимодействии"
"Общество-это динамическая, саморазвивающаяся система. Это означает, что","способна, серьезно изменяясь, сохранить в то же время свою сущность и качественную определенность"
Объяснение религии как формы запрета и подавления человеческих естественных влечений характерно для:,З. Фрейда
Один из исходных принципов феноменологической теория познания таков:,наши знания происходят из опыта
Одним из первых сформулировал представление о человеке как о субъекте познания:,Декарт
Одним из первых термин «постмодерн» ввел в философский оборот:,Ж.-Ф.Лиотар
Одним из центральных объектов исследования Ж.Бодрийяра в книге «Система вещей» является:,функциональность вещи в традиционной культуре и размытие ее функциональности в современной
"Одно из классических определений истины, идущее от средневековья",истина есть соответствие ума и вещи
"онятие о гармонии вещи исходит из предпосылки, что",вещи могут иметь объективные эстетические свойства
"Опасной причиной межцивилизационной войны, С. Хантингтону, является:",изменение расстановки сил между стержневыми странами разных цивилизаций
"Описывая основные черты человеческого рода, И.Кант практически сразу переходит к анализу гражданского общества. Причина в том, что:","Кант присоединяется к тезису, что человек предназначен быть членом общества по своей природе верно"
Осмысление отдельных компонентов эстетического опыта начинается,в древних цивилизациях Востока и в античной Европе
"Основанием для эстетического опыта являются чувственные объективные ощущения. Однако, как указывал, например, М.Бердсли их одних недостаточно, они должны дополняться:",субъективным переживанием
Основания доказательсв бытия были бога заложены ещё у:,Платона
Основателем и одним из важнейших представителей феноменологии был,Э.Гуссерль
Основателем систематической этики считается,Аристотель
"Основная ценность науки истории, по Р. Коллингвуду, в том, что она может дать ответ на вопрос, что представляет собой человек. Это происходит потому, что история может определить",что человек смог сделать за прошедшие столетия
"Основная ценность философского исследования истины в том, что ",этот поиск выражает саму энергию человеческого познания
"Основное произведение И. Канта, посвященное эстетике и философии искусства (в современном их понимании) является:",«Критика способности суждения»
Основные этические категории это:,добро и зло
"Основным и общим объектом исследования и религиоведения, и философии религии выступает",религия верно
Основным трудом французского палеонтолога и иезуита Тейяра де Шардена является работа под названием ,Феномен человека
Основоположник новоевропейской научной философии Рене Декарт написал,"""Рассуждение о методе"""
"Особенность новоевропейской философии, которая существенно повлияла на становлении антропологии:",реабилитация человеческого тела верно
Особенность отношения философии к тому или иному мировоззрению того или иного общества в том:,все вышеперечисленное
"Особенность философии по Г.-Г. Гадамеру в том, что",она вынуждена постоянно заниматься историей своих понятий
"Особенность эстетики в том, что она изучает в первую очередь идеального субъекта восприятия и идеальное эстетическое отношение, а не конкретные произведения искусства. Причина в том, что:","основной подход эстетики – изучать принципиальные, важнейшие проблемы верно"
Особенностью классического искусства является,активная позиция зрителя
Отличительной чертой религиозной философии является:,утверждение взаимодополнительности разума и веры для постижения истины верно
"Отношение к природе как к совершенству, гармонии характерно для",античности
"Парменид утверждал что ""есть одно""",мыслить и быть
"Первая в истории социальная группа, которая позиционировала свою самостоятельность и самодеятельность-это",буржуазия
"Первое крупное произведение Вл. Соловьева, которое так и осталось незавершенным, называется:","""Философские начала цельного знания"""
Первым семью в экономическом и индивидуалистическом понимании истолковал:,Дж. Локк
Первым указывает на фактический характер истории:,Дж. Вико
"Переход к современному финансовому капитализму не смог бы состояться, если бы западными странами не осуществлялась политика",колониализма и неоколониализма
"Периодизация техники, основанная на выделении доиндустриальной, индустриальной и постиндустриальной стадии, принадлежит:",Э. Тоффлеру
"Платон называет подлинными философами тех, кто",любит изучать истину
"Платон полагал, что нравственное совершенство человека возможно только:",в идеальном государстве
Платон характеризовал мнение как,нечто среднее между знанием и незнанием
"По Бердяеву практическая задача философа в том, чтобы",изменять социальную реальность
"По Г.-Г. Гадамеру, то, что естественные науки стали играть лидирующую роль, приводит к:",доминированию логики и логического анализа языка
"По Г.-Г. Гадамеру, формирование понятий как единиц человеческого мышления:",обусловлено уже имеющимся языком и историей истолкования мира верно
"По Дж.Э.Муру, важнейшим вопросом этики является следующий:",Что обозначает слово «добро»? 
"По Й. Хейзинге, исследование и признание игры требует признания существования:",духа
"По М.Шелеру, «инстинкт — более примитивная форма психического бытия и процесса, чем сложные душевные образования, определенные ассоциациями». На каком основании он так утверждает?","существо, имеющее только инстинкт, менее свободно от окружающего мира верно"
"По мнению автора, духовный опыт помогает раскрыть представления об основных идеалах, имеющих...",универсальную значимость для общества
"По мнению автора, духовный опыт помогает раскрыть представления об основных идеалах, имеющих...","значимость, сопоставимую с религиозными догмами"
"По мнению Г.В.Гегеля подлинно свободное государство, где прогресс достигнут, и все являются свободными-это",Пруссия
"По Н.А. Бердяеву, особенность существования философии в высших учебных заведениях в том, что она вынуждена",доказывать правильность доминирующей политической идеологии
"По Р. Ингардену, в эстетическом переживании некоторые реальные свойства предмета могут не замечаться, потому что",такие свойства мешают целостности эстетического восприятия
"По С. Хантингтону, более стабильным может оказаться мир, в котором:",ядерным оружием обладают одно или два ключевых государства в каждой цивилизации
"По С.Л. Франку «ложный» тип философии истории заключается в том, чтобы понять:",цель исторического развития
"По Т.Гоббсу, началом справедливости служит соглашение. А началом благодарности?",милость
"По утверждению Аристотеля, наука о благе и нравственности",практическая
"По Ф.Энгельсу, исходная установка материализма состоит в том, что",правильный взгляд на мир формируется только при соблюдлении законов логики
"По Ф.Энгельсу, налоги возникают там, где, в силу раскола общества на классы, необходимо:",обеспечивать публичную власть
